"COUNTY","STATE","POPULATION","UNEMPLOYMENT_RATE","DENSITY"
"hamilton","OH",809099,4.3,"1976.7"
"hamilton","TN",357738,4.7,"620.3"
"hamilton","TX",8304,4.9,"10.2"
"hampden","MA",468467,5,"751"
"hampshire","MA",161816,3.3,"299.8"
"hampton city","VA",135410,5.6,"2673.2"
"hancock","GA",8640,8.4,"20"
"hancock","IL",18508,6.6,"24.1"
"hancock","IN",73717,3.8,"228.8"
"hancock","MS",46791,6.1,"92.7"
"hancock","OH",75872,3.6,"140.7"
"hanover","VA",104392,3.5,"213.1"
"hansford","TX",5538,3.1,"6.1"
"haralson","GA",29042,5.8,"102"
"hardee","FL",27360,6.7,"43.5"
"hardeman","TX",3906,3.9,"6"
"hardin","IL",4024,9.8,"24.3"
"harding","NM",665,7.2,"0.3"
"harford","MD",251032,4.1,"560.1"
"harney","OR",7292,6.3,"0.7"
"harper","KS",5685,3.9,"7.5"
"harris","GA",33652,5,"69"
"harris","TX",4589928,5.3,"2402.4"
"harrison","IN",39826,4.2,"81.2"
"harrison","MS",203234,5.5,"326"
"harrison","MO",8556,4.2,"12.4"
"harrison","OH",15307,7.5,"39.4"
"harrison","TX",66534,6.1,"72.9"
"harrison","WV",68400,5.8,"166.1"
"hart","GA",25553,5.5,"108.5"
"hartford","CT",892389,5.3,"1216.2"
"harvey","KS",34913,4.4,"64.3"
"haskell","OK",12747,8.4,"22.1"
"haskell","TX",5681,4.4,"6.5"
"hawaii","HI",198449,3.8,"45.9"
"hays","TX",204470,3.3,"231.7"
"haywood","NC",60682,4.6,"106.6"
"henderson","IL",6869,6.2,"19.3"
"hendricks","IN",160610,3.5,"357.4"
"hendry","FL",39290,9.1,"34"
"hennepin","MN",1232483,3.4,"2081.7"
"henrico","VA",326501,3.8,"1313.4"
"henry","AL",17164,6.6,"30.8"
"henry","IL",49280,6.1,"61.3"
"henry","IN",48521,4.6,"126.2"
"henry","MO",21594,5,"32"
"henry","OH",27629,5.3,"67.8"
"henry","VA",51445,5.6,"141.6"
"herkimer","NY",62613,5.5,"45.7"
"hernando","FL",182835,6.1,"365.6"
"hertford","NC",24136,6.5,"69.9"
"hickory","MO",9269,5.6,"24.1"
"hidalgo","NM",4302,5.7,"1.4"
"hidalgo","TX",849843,7.8,"493.2"
"highland","OH",43029,6.3,"78.8"
"highland","VA",2216,3.2,"5.6"
"highlands","FL",100917,6.6,"97.2"
"hill","TX",35077,4.5,"36.6"
"hillsborough","FL",1376238,4.5,"1204.9"
"hillsborough","NH",407761,3,"457.4"
"hillsdale","MI",45774,4.9,"78.1"
"hinds","MS",241229,5.4,"282"
"hocking","OH",28340,5.4,"69.7"
"hodgeman","KS",1870,2.9,"2.2"
"holmes","FL",19487,5.4,"41.6"
"holmes","OH",43936,3.5,"100.3"
"holt","MO",4448,3.3,"10.6"
"hood","TX",56857,4.7,"121.7"
"hood river","OR",23232,4.2,"42.8"
"hopewell city","VA",22735,6.5,"2197.9"
"hopkins","TX",36400,4,"45.8"
"horry","SC",322342,5.6,"237.5"
"houghton","MI",36555,5.9,"36.3"
"houston","AL",104056,5.9,"175.1"
"houston","GA",152122,5.4,"372.5"
"houston","MN",18814,4,"34.5"
"houston","TN",8134,7.7,"42.1"
"houston","TX",22754,4.5,"19.3"
"howard","IN",82568,4.7,"282.4"
"howard","MD",317233,3.2,"1144.9"
"howard","MO",10058,4.4,"21.9"
"howell","MO",40210,6.3,"43.6"
"hudson","NJ",677983,4.7,"13731.4"
"hudspeth","TX",4053,6.7,"0.8"
"huerfano","CO",6677,6.4,"4.2"
"hughes","SD",17600,2.2,"23"
"humboldt","CA",136646,4.9,"37.7"
"humboldt","NV",16842,5.4,"1.7"
"hunt","TX",92073,4.3,"102.5"
"hunterdon","NJ",124676,3.8,"300"
"huntingdon","PA",45634,7.1,"52.5"
"huntington","IN",36400,4.1,"97"
"huron","MI",31481,5,"39.6"
"huron","OH",58439,6.5,"121.3"
"hutchinson","TX",21511,5.6,"25"
"hyde","NC",5517,9.4,"9.5"
"imperial","CA",180883,23.5,"41.8"
"indian river","FL",151563,6.2,"274.5"
"indiana","PA",86364,7.3,"107.5"
"ingham","MI",288051,4.1,"505.1"
"inyo","CA",18144,5.2,"1.8"
"ionia","MI",64232,4.1,"111.9"
"iosco","MI",25327,7.1,"47.1"
"iredell","NC",172916,4.8,"277.8"
"iron","MI",11195,6.5,"10.1"
"iron","UT",49937,4.3,"14"
"iroquois","IL",28334,5.5,"26.6"
"isabella","MI",71282,4.5,"122.8"
"isanti","MN",39025,4.7,"86.8"
"island","WA",82636,6,"376.6"
"isle of wight","VA",36596,4.3,"111.8"
"itasca","MN",45242,8.7,"16.9"
"itawamba","MS",23529,5,"43.9"
"jack","TX",8744,4.9,"9.9"
"jackson","AL",52138,6.4,"49.4"
"jackson","CO",1357,2.7,"0.9"
"jackson","FL",48229,5.3,"54.2"
"jackson","GA",64615,4.2,"178.1"
"jackson","IL",58870,5.4,"103.1"
"jackson","IN",44013,3.7,"83.2"
"jackson","MI",158460,4.7,"228.4"
"jackson","MN",9944,4.5,"14.6"
"jackson","MO",691801,5.1,"1115.3"
"jackson","NC",42241,5.4,"82.1"
"jackson","OH",32505,7.8,"79"
"jackson","OR",216527,5.8,"73"
"jackson","TX",14869,4.8,"17"
"james city","VA",74404,3.9,"470.4"
"jasper","GA",13654,4.8,"37.8"
"jasper","IL",9536,6.3,"19.6"
"jasper","MO",119111,4.1,"183.9"
"jasper","TX",35648,7.8,"38"
"jay","IN",21046,4.6,"55.4"
"jeff davis","TX",2200,2.9,"1"
"jefferson","AL",659521,5.9,"592.5"
"jefferson","AR",70016,5.6,"88.9"
"jefferson","CO",571837,3,"699.5"
"jefferson","FL",13906,5.3,"24.7"
"jefferson","GA",15916,7.5,"32.2"
"jefferson","IL",38460,6.5,"68"
"jefferson","IN",32418,4.7,"89.9"
"jefferson","KY",765352,4.4,"1948.1"
"jefferson","MO",224226,4.3,"333.1"
"jefferson","NY",114006,6.2,"91.6"
"jefferson","OH",66704,8.3,"170.7"
"jefferson","OK",6230,7.2,"8.5"
"jefferson","OR",23080,6.7,"12.2"
"jefferson","PA",44073,6.9,"69.3"
"jefferson","TX",254679,7,"287.9"
"jefferson","WA",31139,7.3,"16.6"
"jefferson davis","MS",11385,8.3,"30.6"
"jefferson parish","LA",436523,5.3,"1463.1"
"jersey","IL",22025,5.8,"62.2"
"jim hogg","TX",5146,9.6,"4.7"
"jim wells","TX",41149,10.7,"47.2"
"jo daviess","IL",21770,5.4,"37.7"
"johnson","IL",12902,8.6,"36.6"
"johnson","IN",151982,3.6,"435.8"
"johnson","IA",146547,2.6,"213.1"
"johnson","KS",584451,3.3,"1149.6"
"johnston","OK",11087,5.9,"17"
"jones","GA",28623,4.9,"72.8"
"jones","NC",9845,5.3,"21.6"
"jones","TX",20009,5.9,"21.8"
"josephine","OR",85904,6.6,"50.4"
"juab","UT",11010,3.6,"3"
"juniata","PA",24863,5.4,"63"
"kalamazoo","MI",261654,3.9,"445.7"
"kalkaska","MI",17263,6.9,"30.6"
"kanabec","MN",15830,6.6,"31.1"
"kanawha","WV",186241,5.4,"214.1"
"kandiyohi","MN",42495,3.8,"53"
"kane","IL",531715,5.5,"990.8"
"kane","UT",7334,3.8,"1.8"
"kankakee","IL",110008,6.4,"167.7"
"karnes","TX",15254,4.9,"19.8"
"kay","OK",44943,6.4,"50.6"
"kendall","IL",124695,5.2,"358.2"
"kenedy","TX",404,5.2,"0.3"
"kennebec","ME",120569,3.6,"140.8"
"kenosha","WI",168183,4.8,"611.9"
"kent","DE",174827,4.7,"276.9"
"kent","MD",19730,4.7,"72.9"
"kent","MI",642173,3.4,"711.5"
"kent","RI",164614,4.8,"985.9"
"kent","TX",769,3,"0.9"
"kenton","KY",164945,4.1,"996.7"
"kern","CA",884788,10.3,"103.3"
"kerr","TX",51504,3.6,"45"
"kershaw","SC",64097,5.1,"84.9"
"keweenaw","MI",2199,8.4,"4"
"kimble","TX",4423,3.9,"3.7"
"king","TX",289,4,"0.3"
"king","WA",2149970,3.9,"912.9"
"king and queen","VA",7159,4.2,"22"
"king george","VA",25984,4.2,"131.3"
"king william","VA",16334,3.7,"58.2"
"kingfisher","OK",15638,3.4,"16.7"
"kingman","KS",7467,4.7,"9.1"
"kings","CA",149785,10,"110.1"
"kings","NY",2629150,5.3,"35369.2"
"kinney","TX",3590,6,"2.6"
"kiowa","CO",1373,2.1,"0.8"
"kit carson","CO",8195,2.1,"3.8"
"kitsap","WA",264811,5.8,"635.9"
"kittitas","WA",44866,6,"17.8"
"kittson","MN",4333,4.7,"4.1"
"klamath","OR",66443,6.9,"11.2"
"kleberg","TX",31690,6.9,"36.4"
"klickitat","WA",21301,7.1,"10.9"
"knox","IL",50938,6.1,"73.9"
"knox","ME",39744,3.6,"108.8"
"knox","MO",3934,3.5,"8.2"
"knox","TN",456132,4.1,"850.5"
"knox","TX",3806,4.4,"4.4"
"kodiak island borough","AK",13732,5,"2.1"
"koochiching","MN",12628,8.5,"4.3"
"kootenai","ID",154311,4.8,"111.3"
"la crosse","WI",118122,3.7,"253.8"
"la paz","AZ",20317,6,"4.6"
"lac qui parle","MN",6715,4.3,"9.5"
"lackawanna","PA",211321,5.7,"467.1"
"laclede","MO",35490,5.5,"46.5"
"lafayette","FL",8617,4.1,"16.3"
"lafayette","MO",32618,4.3,"53.1"
"lafayette parish","LA",241398,6.2,"824.6"
"lake","CA",64116,6.6,"51.5"
"lake","FL",335396,4.9,"316.6"
"lake","IL",703047,5.2,"1585.6"
"lake","IN",485846,6.3,"994.1"
"lake","MI",11496,7.3,"20.3"
"lake","MN",10625,6.5,"5.2"
"lake","OH",228614,4.8,"1011.2"
"lake","OR",7837,6.4,"1"
"lake of the woods","MN",3814,4.7,"3.1"
"lamar","MS",60914,4.5,"112"
"lamar","TX",49791,4.6,"54.9"
"lamoille","VT",25333,4.3,"53.3"
"lancaster","NE",309637,2.9,"340.8"
"lancaster","PA",538500,4.2,"550.4"
"lancaster","SC",89594,5.2,"139.6"
"lancaster","VA",10972,5.6,"85.5"
"lander","NV",5702,6.2,"1.1"
"lane","OR",369519,5.1,"77.2"
"lanier","GA",10399,5.7,"54.4"
"lapeer","MI",88340,6.5,"137.4"
"laramie","WY",98136,4.1,"34.2"
"larimer","CO",339993,2.8,"115.4"
"las animas","CO",14103,5.2,"3.2"
"lasalle","IL",110642,6.7,"100.4"
"lassen","CA",30870,6.9,"7.7"
"latimer","OK",10414,8.8,"15.4"
"lauderdale","MS",77755,5.9,"114.1"
"laurens","GA",47516,6.7,"60"
"lavaca","TX",19809,4.3,"19.9"
"lawrence","AL",33244,7,"49.7"
"lawrence","IL",16377,7.5,"45.2"
"lawrence","OH",60872,6.4,"137.7"
"lawrence","PA",87294,6.8,"254.4"
"le sueur","MN",27591,4.9,"61.7"
"lea","NM",69749,9.5,"14.7"
"lebanon","PA",138863,4.5,"369.1"
"lee","AL",158991,5.3,"230.8"
"lee","FL",722336,4.6,"788.7"
"lee","IL",34251,5.1,"49.7"
"lee","MS",85381,4.8,"184.3"
"lee","NC",59616,5.9,"227"
"lee","TX",17055,3.8,"26.4"
"lee","VA",24179,6.8,"58.8"
"leelanau","MI",21765,4.7,"62.5"
"leflore","MS",29856,9.3,"54.5"
"lehigh","PA",363147,5.4,"1012.5"
"lenawee","MI",98504,4.5,"133.3"
"lenoir","NC",57307,5.9,"148.5"
"leon","FL",287822,4.6,"413.1"
"leon","TX",17299,6.6,"15.7"
"levy","FL",39961,5.2,"36.5"
"lewis","MO",10134,4.5,"20.2"
"lewis","NY",26865,6.7,"21.3"
"lewis","WA",77066,8.1,"31.4"
"lewis and clark","MT",67282,3.3,"18.3"
"lexington city","VA",7045,6.3,"2820.3"
"liberty","FL",8202,5.3,"10"
"licking","OH",172198,4.3,"243.9"
"limestone","AL",92753,5.3,"147.8"
"lincoln","GA",7828,5.9,"38"
"lincoln","ME",34216,3.8,"75.6"
"lincoln","MN",5783,3.6,"11"
"lincoln","NV",5055,5.1,"0.5"
"lincoln","OR",47806,5.7,"47"
"lincoln","SD",54469,2,"77.7"
"lincoln","WA",10350,5.7,"4.6"
"linn","IA",221661,3.7,"294.6"
"linn","KS",9558,6.7,"16.3"
"linn","OR",122849,5.8,"50.9"
"lipscomb","TX",3487,4.6,"3.5"
"litchfield","CT",182571,4.6,"206.3"
"live oak","TX",12056,6,"11.1"
"livingston","IL",36526,5.5,"37.3"
"livingston","MI",188624,4.2,"320.2"
"livingston","NY",64257,4.9,"103.5"
"llano","TX",20362,4.1,"20.7"
"logan","IL",29527,5.3,"49"
"logan","KS",2831,2.8,"2.6"
"logan","ND",1941,3.5,"2"
"logan","OH",45165,4.2,"100"
"logan","OK",46588,4.1,"56.3"
"logan","WV",33700,10.1,"81"
"long","GA",18437,5.5,"36.1"
"lorain","OH",306365,5.9,"613.6"
"los angeles","CA",10137915,5.2,"2419.6"
"loudoun","VA",385945,3.2,"605.8"
"louisa","VA",35236,3.8,"66.8"
"love","OK",9997,3.2,"18.3"
"lowndes","GA",114628,5.2,"220.2"
"lubbock","TX",303137,3.4,"311.3"
"lucas","OH",432488,5.1,"1296.2"
"luce","MI",6358,6.5,"7.4"
"lunenburg","VA",12273,4.6,"29.9"
"luzerne","PA",316383,6.4,"360.4"
"lycoming","PA",115248,6.7,"94.5"
"lynchburg city","VA",80212,5.2,"1538.2"
"lynn","TX",5711,4,"6.6"
"lyon","KS",33510,4.2,"39.8"
"lyon","MN",25699,3.6,"36.2"
"lyon","NV",53179,7.4,"26"
"mackinac","MI",10820,9.4,"10.9"
"macomb","MI",867730,5.3,"1754.9"
"macon","AL",18963,7.7,"35.2"
"macon","IL",106550,6.6,"190.8"
"macon","MO",15170,4.8,"19.4"
"macon","NC",34376,5.4,"65.8"
"macoupin","IL",45908,6,"55.4"
"madera","CA",154697,9.2,"70.6"
"madison","AL",356967,5.2,"417.7"
"madison","FL",18224,5.3,"27.6"
"madison","GA",28824,5,"99.6"
"madison","IL",265759,5.9,"376.3"
"madison","IN",129296,5,"291.3"
"madison","NE",35015,2.9,"60.9"
"madison","NY",71329,5.2,"112.2"
"madison","NC",21340,4.9,"46.2"
"madison","TN",97663,5,"176.4"
"madison","TX",13987,5.1,"29.3"
"mahnomen","MN",5465,5.7,"9.7"
"mahoning","OH",230008,6.3,"580.2"
"malheur","OR",30439,5.6,"3.2"
"manassas city","VA",41483,3.6,"3827.8"
"manassas park city","VA",15915,3.5,"5633.1"
"manatee","FL",375888,4.6,"434.5"
"manistee","MI",24373,6.3,"45.6"
"marengo","AL",19673,7.4,"21.5"
"maricopa","AZ",4242997,4.5,"414.9"
"marin","CA",260651,3.2,"485.1"
"marion","AL",29998,6.7,"41.5"
"marion","FL",349020,5.8,"209.1"
"marion","GA",8524,7.4,"23.9"
"marion","IL",38140,6.4,"68.9"
"marion","IN",941229,4.4,"2279.6"
"marion","OH",65096,5,"164.7"
"marion","OR",336316,5.1,"266.7"
"marion","TX",10147,7.1,"27.7"
"mariposa","CA",17410,6.9,"12.6"
"marquette","MI",66435,5.6,"37.1"
"marshall","AL",95157,5.5,"164.4"
"marshall","IL",11939,6.6,"32.7"
"marshall","MN",9324,7.4,"5.3"
"marshall","OK",16191,5.1,"42.7"
"marshall","WV",31793,7.9,"108.4"
"martin","FL",158701,4.9,"269.2"
"martin","MN",19829,4.2,"29.3"
"martin","NC",23172,6.7,"53.1"
"martinsville city","VA",13445,7.1,"1261.5"
"mason","IL",13507,7.1,"27.2"
"mason","MI",28876,5.6,"58"
"mason","WA",62198,7.8,"63.3"
"massac","IL",14658,7,"65"
"mathews","VA",8782,4,"104.5"
"maury","TN",89981,4.1,"132"
"mcdonald","MO",22620,4.3,"42.8"
"mcdonough","IL",30996,6.3,"55.3"
"mcdowell","NC",45075,4.8,"102.1"
"mcduffie","GA",21490,7.2,"85"
"mchenry","IL",307004,5.3,"511.9"
"mckean","PA",41883,6.7,"44.4"
"mckinley","NM",74923,9.5,"13.1"
"mclean","IL",172418,5.1,"143.3"
"mclean","KY",9475,4.8,"37.8"
"mclennan","TX",247934,4,"226.5"
"mcleod","MN",35842,4.5,"74.6"
"mecklenburg","NC",1054835,4.7,"1755.5"
"mecklenburg","VA",30892,5.6,"52.3"
"mecosta","MI",43221,5.4,"77.1"
"medina","OH",177221,4.3,"409"
"medina","TX",49283,4.4,"34.7"
"meeker","MN",23110,4.5,"38.3"
"meigs","OH",23125,8.3,"55.3"
"menard","IL",12516,4.6,"40.4"
"menard","TX",2123,4.6,"2.5"
"mendocino","CA",87628,5.2,"25.1"
"menominee","MI",23281,5.6,"23"
"menominee","WI",4533,7.8,"11.8"
"merced","CA",268672,10.5,"132.2"
"mercer","IL",15730,6.2,"29.3"
"mercer","KY",21477,4.7,"85.7"
"mercer","NJ",371023,4.3,"1632.2"
"mercer","PA",112913,6,"173.4"
"merrimack","NH",148582,2.5,"156.8"
"mesa","CO",150083,5.4,"44.1"
"miami","OH",104679,4.3,"252.1"
"miami-dade","FL",2712945,5.4,"1315.5"
"middlesex","CT",163329,4.4,"448.6"
"middlesex","MA",1589774,3,"1837.9"
"middlesex","NJ",837073,4.4,"2621.6"
"middlesex","VA",10778,3.8,"84.1"
"midland","MI",83462,4.5,"162"
"midland","TX",162565,4.4,"152"
"mifflin","PA",46342,5.8,"113.6"
"milam","TX",24871,5.2,"24.3"
"millard","UT",12694,3.3,"1.9"
"mille lacs","MN",25866,6,"45.6"
"miller","MO",25206,5.2,"41.8"
"milwaukee","WI",951448,5.1,"3926"
"mineral","NV",4449,6.6,"1.3"
"minnehaha","SD",187318,2.4,"210"
"missaukee","MI",15102,5.7,"26.3"
"missoula","MT",116130,3.7,"42.1"
"mitchell","GA",22459,6.6,"45.9"
"mitchell","NC",15126,6.1,"70.4"
"mitchell","TX",8720,7.2,"10.3"
"mobile","AL",414836,6.9,"335.9"
"modoc","CA",8795,7.8,"2.5"
"moffat","CO",13109,4,"2.9"
"mohave","AZ",205249,6.6,"15"
"moniteau","MO",16018,4.3,"37.6"
"monmouth","NJ",625846,4.4,"1344.7"
"mono","CA",13981,5.3,"4.7"
"monroe","AL",21530,9.4,"22.5"
"monroe","FL",79077,3.2,"74.3"
"monroe","GA",27306,5.2,"66.8"
"monroe","IL",34068,4.1,"85.6"
"monroe","IN",145496,4.6,"349.7"
"monroe","MI",149208,4.3,"276.7"
"monroe","NY",747727,4.7,"1132.6"
"monroe","OH",14210,11.1,"32.1"
"monroe","PA",166098,6.3,"279.2"
"montcalm","MI",62974,5,"89.8"
"monterey","CA",435232,7.6,"126.5"
"montezuma","CO",26999,5,"12.6"
"montgomery","AL",226349,5.9,"292.5"
"montgomery","GA",9060,7.6,"38.1"
"montgomery","IN",38074,3.9,"75.6"
"montgomery","MD",1043863,3.3,"1978.2"
"montgomery","MS",10187,6.4,"26.8"
"montgomery","MO",11620,4.6,"22.8"
"montgomery","NY",49276,5.7,"124.6"
"montgomery","OH",531239,4.8,"1159.5"
"montgomery","PA",821725,4.2,"1655.9"
"montgomery","TN",195734,5.2,"319.6"
"montgomery","TX",556203,4.9,"437.5"
"montgomery","VA",98602,4,"243.9"
"montmorency","MI",9173,9.7,"17.9"
"montour","PA",18343,4.3,"140.3"
"montrose","CO",41471,4.2,"18.4"
"moore","NC",95776,5,"126.5"
"moore","TX",22120,3,"24.3"
"mora","NM",4504,8.8,"2.5"
"morgan","AL",119012,5.6,"206.3"
"morgan","GA",18170,5,"51.4"
"morgan","IL",34277,4.9,"62.5"
"morgan","IN",69698,4.2,"170.5"
"morgan","UT",11437,3,"15.5"
"morris","NJ",498423,3.9,"1069.8"
"morris","TX",12593,11,"51.3"
"morrison","MN",32821,5.7,"29.5"
"morrow","OR",11274,5,"5.5"
"motley","TX",1160,3.7,"1.2"
"moultrie","IL",14827,4.6,"44.2"
"mower","MN",39163,3.2,"55.1"
"muhlenberg","KY",31028,7,"67.4"
"multnomah","OR",799766,4.3,"1704.9"
"murray","GA",39315,6.9,"115"
"murray","MN",8329,4.8,"12.4"
"muscogee","GA",197485,6.9,"877.5"
"muskegon","MI",173408,5.2,"344.9"
"nacogdoches","TX",65806,4.7,"68.2"
"napa","CA",142166,4.3,"182.4"
"nash","NC",94005,6.6,"177.3"
"nassau","FL",80622,4.6,"113"
"nassau","NY",1361500,3.9,"4704.8"
"natrona","WY",81039,7.1,"14.1"
"navajo","AZ",110026,8.1,"10.8"
"navarro","TX",48523,4.2,"47.3"
"neosho","KS",16146,7.5,"28.9"
"neshoba","MS",29403,5.8,"52.1"
"nevada","CA",99107,4.7,"103.1"
"new castle","DE",556987,4.3,"1263.2"
"new hanover","NC",223483,4.7,"1058.1"
"new haven","CT",856875,5.5,"1426.7"
"new london","CT",269801,5,"412.2"
"new york","NY",1643734,4.5,"69468.4"
"newaygo","MI",47938,4.7,"59.6"
"newport","RI",82784,4.7,"809.6"
"newport news city","VA",181825,5.1,"2630"
"newton","GA",106999,6,"367.3"
"newton","MO",58694,4.3,"93"
"newton","TX",14003,8.1,"15.5"
"niagara","NY",211758,5.8,"414.4"
"nicollet","MN",33575,2.8,"73"
"noble","IN",47638,4.1,"115.7"
"noble","OH",14294,8.6,"36.8"
"nobles","MN",21848,3.8,"29.9"
"nodaway","MO",22670,4.6,"26.6"
"nolan","TX",14993,4.9,"16.7"
"norfolk","MA",697181,3.2,"1693.6"
"norman","MN",6579,4.9,"7.9"
"northampton","PA",302294,5.2,"805.4"
"northampton","VA",12139,5.7,"58.5"
"northumberland","PA",92541,6.3,"206.2"
"northumberland","VA",12222,5.4,"64.5"
"norton","KS",5493,2.6,"6.5"
"norton city","VA",3864,6.8,"529.1"
"nottoway","VA",15595,3.9,"50.4"
"nueces","TX",361350,5.7,"405.8"
"nye","NV",43423,7.3,"2.4"
"oakland","MI",1243970,4.2,"1385.7"
"ocean","NJ",592497,5.2,"917"
"oceana","MI",26027,7.1,"51.9"
"oconee","GA",36838,4.1,"178"
"ogemaw","MI",20904,7.5,"38.5"
"ogle","IL",51273,5.9,"70.5"
"okaloosa","FL",201170,4,"194.4"
"okanogan","WA",41554,6.9,"7.8"
"okeechobee","FL",40314,5.4,"52"
"oklahoma","OK",782970,4.3,"1013.8"
"okmulgee","OK",39213,7.2,"57.5"
"oktibbeha","MS",49833,5.5,"104"
"oldham","TX",2076,3,"1.4"
"olmsted","MN",153102,3,"220.8"
"oneida","NY",231190,4.8,"193.7"
"onondaga","NY",466194,4.5,"600"
"onslow","NC",187136,5.5,"233.1"
"ontario","NY",109828,4.3,"167.6"
"ontonagon","MI",5911,8.3,"5.2"
"orange","CA",3172532,4,"3807.7"
"orange","FL",1314367,4.4,"1268.5"
"orange","IN",19335,5.1,"49.8"
"orange","NY",379210,4.3,"459.3"
"orange","NC",141796,4.3,"336.2"
"orange","TX",84964,6.8,"245.3"
"orange","VT",28919,3.1,"42.1"
"orange","VA",35533,4,"98.2"
"oregon","MO",10789,6.1,"13.8"
"orleans","NY",41346,5.7,"109.6"
"orleans","VT",26863,5.2,"39.3"
"osage","MO",13664,3.4,"23"
"osceola","FL",336015,5,"202.4"
"osceola","MI",23110,5.5,"41.5"
"oscoda","MI",8264,7.2,"15.3"
"oswego","NY",118987,6.4,"128.3"
"otero","CO",18295,4.8,"14.9"
"otero","NM",65410,6,"9.6"
"otsego","MI",24470,5.7,"46.9"
"otsego","NY",60097,4.9,"62.2"
"ottawa","KS",5920,4,"8.5"
"ottawa","MI",282250,3.2,"468.2"
"ottawa","OH",40636,6.4,"162.5"
"ottawa","OK",31691,5.1,"67.6"
"otter tail","MN",58085,4.4,"29.1"
"ouray","CO",4857,3.8,"8.2"
"outagamie","WI",184526,3.6,"277.2"
"owsley","KY",4491,9.4,"24.1"
"pacific","WA",21249,8.3,"22.4"
"page","VA",23654,5.6,"77.3"
"palm beach","FL",1443810,4.8,"670.2"
"palo pinto","TX",28053,5.6,"29.5"
"panola","TX",23492,7.4,"29.7"
"parker","TX",129441,4.1,"129.4"
"pasco","FL",512368,5.2,"622.2"
"pasquotank","NC",39864,6.3,"179.2"
"passaic","NJ",507945,6.1,"2715.3"
"paulding","GA",155825,4.6,"455.8"
"paulding","OH",18865,4.6,"47.1"
"pawnee","OK",16485,6.7,"29.2"
"payne","OK",81131,3.8,"113"
"pecos","TX",15970,5.9,"3.3"
"pend oreille","WA",13123,9.1,"9.3"
"pender","NC",59090,5.3,"60"
"pennington","MN",14235,5.8,"22.6"
"pennington","SD",109372,2.9,"36.4"
"peoria","IL",185006,6.8,"301.2"
"perquimans","NC",13335,6.4,"54.4"
"perry","AL",9574,10.6,"14.7"
"perry","IL",21357,7.1,"50.6"
"perry","IN",18966,4.6,"50.7"
"perry","MS",12245,7.1,"18.9"
"perry","MO",19285,3.5,"40"
"perry","OH",35927,6.2,"88.4"
"perry","PA",45820,4.7,"83.4"
"pershing","NV",6560,5.9,"1.1"
"person","NC",39284,5.5,"100.6"
"petersburg city","VA",31882,7.6,"1413.8"
"phelps","MO",44608,4.7,"67.2"
"piatt","IL",16560,5,"38.1"
"pickaway","OH",57565,4.7,"111.1"
"pickens","AL",20324,6.9,"22.4"
"pickens","GA",30832,4.9,"126.8"
"pierce","WA",861312,6.3,"476.3"
"pike","AL",33286,6.4,"48.9"
"pike","GA",17941,5.2,"82.7"
"pike","IL",15950,5.1,"19.8"
"pike","MO",18438,4.5,"27.6"
"pike","OH",28160,7.4,"65.2"
"pike","PA",55562,6.4,"105.3"
"pima","AZ",1016206,4.9,"106.7"
"pinal","AZ",418540,5.5,"70"
"pine","MN",28874,5.9,"21.1"
"pinellas","FL",960730,4.4,"3347.5"
"pipestone","MN",9202,3.9,"20.6"
"piscataquis","ME",16843,5.4,"4.4"
"pitkin","CO",17752,3.4,"17.7"
"pitt","NC",177220,5.5,"257.9"
"pittsburg","OK",44173,6.3,"35.1"
"pittsylvania","VA",61687,4.7,"65.5"
"piute","UT",1466,6,"2.1"
"placer","CA",380531,4.4,"247.6"
"platte","MO",98309,3.6,"212.6"
"plumas","CA",18627,9.6,"7.8"
"plymouth","MA",513565,3.9,"750.9"
"pointe coupee parish","LA",22159,6.5,"40.9"
"polk","FL",666149,5.6,"334.9"
"polk","GA",41776,6.1,"133.6"
"polk","IA",474045,3.5,"750.5"
"polk","MN",31660,4.4,"16"
"polk","MO",31285,4.8,"49"
"polk","OR",81823,5.1,"101.8"
"polk","TX",47916,6.3,"43"
"pontotoc","OK",38330,4.1,"52"
"pope","IL",4157,7,"12.1"
"pope","MN",11049,3.6,"16.4"
"poquoson city","VA",12017,3.5,"793.3"
"portage","OH",161921,5,"331.2"
"pottawatomie","KS",23661,3.5,"25.7"
"pottawatomie","OK",72290,4.7,"88.2"
"pottawattamie","IA",93582,3.4,"98"
"potter","PA",16885,7.9,"16.1"
"potter","TX",120832,3.3,"133.3"
"powhatan","VA",28443,3.5,"107.8"
"preble","OH",41247,4.7,"99.7"
"presidio","TX",6958,10.7,"2"
"presque isle","MI",12762,9.2,"20.3"
"prince edward","VA",23142,5.3,"66.8"
"prince george's","MD",908049,4.4,"1788.8"
"prince william","VA",455210,3.6,"1195"
"providence","RI",633673,5.7,"1530.3"
"prowers","CO",11922,3.3,"7.7"
"pueblo","CO",165123,4.9,"66.7"
"pulaski","AR",393250,3.6,"503.8"
"pulaski","GA",11251,5.9,"48.2"
"pulaski","IL",5619,8.8,"30.9"
"pulaski","IN",12660,4.6,"30.9"
"pulaski","MO",52654,5.4,"95.5"
"pulaski","VA",34203,5.8,"109"
"putnam","FL",72277,6.3,"102.2"
"putnam","IL",5611,5.6,"37.5"
"putnam","MO",4853,4.5,"9.6"
"putnam","NY",98900,4,"432.9"
"quay","NM",8365,6.9,"3.1"
